iter	Logloss
0	0.03540532349
1	0.008100161194
2	0.004413150146
3	0.003282803117
4	0.002873652231
5	0.002677039694
6	0.002520163059
7	0.002373478286
8	0.002228438953
9	0.002113752299
10	0.002039077453
11	0.00196566544
12	0.001837022859
13	0.001753672919
14	0.001672722051
15	0.001597065849
16	0.001557940555
17	0.00152946923
18	0.001462670924
19	0.001412435439
20	0.001366562714
21	0.001320329672
22	0.001273919966
23	0.001225513349
24	0.001186558906
25	0.001160719819
26	0.00110907965
27	0.001049556463
28	0.0009837752783
29	0.0009529213756
30	0.0009404413832
31	0.0008885233954
32	0.0008335415784
33	0.0008113676282
34	0.0007829711594
35	0.0007668092344
36	0.0007527364607
37	0.0006931612478
38	0.0006803615105
39	0.0006678482793
40	0.0006344451682
41	0.0006244732145
42	0.0006089793234
43	0.0005975622105
44	0.0005778023288
45	0.0005544026627
46	0.0005207123952
47	0.0005141887705
48	0.0005006464582
49	0.0004892997777
